orange/orange_1,This is an orange.
orange/orange_1,This is a moldy orange.
orange/orange_1,This is citrus fruit
orange/orange_1,This is a blood orange.
orange/orange_1,THIS IS AN ORANGE
orange/orange_1,this is an old orange
orange/orange_1,This is a bruised orange.
orange/orange_1,This is a orange. The orange looks discolored. The orange has a green stem. The orange is spherically shaped.
orange/orange_1,This is an orange.
orange/orange_1,A bruised orange.
orange/orange_1,THIS IS A TAMATO
orange/orange_1,Image of a fruit that appears to be an orange.
banana/banana_4,this is an old banana
banana/banana_4,This is a ripe unripe plantain.
banana/banana_4,This is an unripe banana, or a plantain.
banana/banana_4,This is a picture of a green banana.
banana/banana_4,This is a plantain.
banana/banana_4,THIS IS A YELLOW COLOR BANANA
banana/banana_4,This is a bananna.
banana/banana_4,This is a banana.
banana/banana_4,This is a yellow banana.
banana/banana_4,A picture of a Green banana.
banana/banana_4,THIS IS A BANANA
banana/banana_4,This is a short, curved banana.
banana/banana_4,This is a ripe banana laying on it's side.
banana/banana_4,This is a green banana. This is a green banana lying on it's side.
orange/orange_2,Here is a yellow grapefruit.
orange/orange_2,this is a yellow apple.
orange/orange_2,THIS IS YELLOW COLOR PEACH FRUIT
orange/orange_2,This is a picture of an orange.
orange/orange_2,
orange/orange_2,This is a lemon.
orange/orange_2,this is a yellow orange
orange/orange_2,THIS IS A PEAR FRUIT
orange/orange_2,This is a lemon.
orange/orange_2,In this picture is a golden apple.
orange/orange_2,This is a orange.
orange/orange_2,This is an apple.
orange/orange_2,This is a picture of an orange.
orange/orange_2,Image / Close-up shot of what appears to be a Lemon. Rest of the background is black to emphasize on the object here.
cuboid/cuboid_4,This is a blue rectangular object.
cuboid/cuboid_4,This is a blue rectangular shape. The shape is a rectangular block. The shape is square at both ends.
cuboid/cuboid_4,This is a blue, 3D rectangle. It has rounded corners.
cuboid/cuboid_4,This is a picture of rectangular shaped blue coloured solid block
cuboid/cuboid_4,This is a blue cuboid.
cuboid/cuboid_4,A blue rectangle.
cuboid/cuboid_4,This is a blue, three dimensional rectangle.
cuboid/cuboid_4,This is a blue rectangular cylinder.
cuboid/cuboid_4,Image of a plastic object in blue color. It looks like a cube.
cuboid/cuboid_4,This is a large blue oblong cube.
cuboid/cuboid_4,THIS RECTANGLESHAPE AND COLOR IS BLUE
cuboid/cuboid_4,BLUE COLOR PAINTED RECTANGLE SHAPE TOY
cuboid/cuboid_4,this is a block of blue clay
cuboid/cuboid_4,This is a blue cuboid-shaped bar.
orange/orange_3,Clear image of an orange.
orange/orange_3,This is an orange.
orange/orange_3,This is an orange.
