Token,Type,tomato/tomato_4,cylinder/cylinder_1,cube/cube_3,lemon/lemon_2,potato/potato_1,cuboid/cuboid_2,plum/plum_4,corn/corn_3,semicylinder/semicylinder_4,carrot/carrot_3,cucumber/cucumber_3,eggplant/eggplant_2,orange/orange_1,triangle/triangle_2,cabbage/cabbage_3,arch/arch_1,banana/banana_2,lime/lime_2
,,yellow red tomato ellipsoid,yellow cylinder block,blue cube block,yellow lemon ellipsoid,brown potato ellipsoid,green cuboid block,purple plum ellipsoid,corn white long-cone,green semicylinder block,carrot orange long-cone,green cucumber ovoid,eggplant purple ovoid,orange ellipsoid,yellow triangle block,cabbage purple ellipsoid,yellow arch block,yellow banana arch,green lime ellipsoid
arch,rgb,0.0538410222459,0.121796252144,0.233304426372,0.367217883767,0.0731638145827,0.973475627956,0.0151340520458,0.156980616307,0.950284844636,0.569360925952,0.486636670606,0.126124853169,0.233969878095,0.135980856014,0.0916761020418,0.133630067079,0.660060456804,0.224925043539
arch,shape,5.5955141205e-09,5.7543105752e-17,0.0110219569358,2.16612115071e-32,4.54245710017e-05,1.2050714055e-08,4.7164654878e-07,1.76407556772e-17,0.000105026213481,0.164567231316,0.00936644269794,2.40020197056e-07,4.89467305791e-08,3.82998057089e-11,4.468416372e-05,0.250031759559,0.786204442527,2.45766573079e-20
banana,rgb,1.57417282175e-172,1.73597337101e-18,2.45951214511e-123,1.11744626694e-85,4.41358919024e-16,5.82264366779e-98,2.38315977487e-44,2.71425700925e-16,1.1157460399e-40,1.49034163196e-25,4.32082903239e-12,0.00040901006118,3.97283216098e-72,7.90996354899e-18,6.37742806747e-05,4.00683287824e-18,0.521872968179,4.39389249034e-08
banana,shape,5.27838571258e-09,3.0815144571e-16,0.00339982732231,3.366844105e-30,0.000128725097258,3.10595526685e-07,4.3715206554e-06,3.19118804134e-10,0.000524876293714,0.309597301176,0.00706696655826,1.72500257764e-07,6.09623937303e-08,5.42174293559e-18,0.000551971613626,2.6402767853e-11,0.996041625221,4.07626219244e-20
block,rgb,0.0304475405156,0.676600671793,0.994254768909,0.369291134373,0.000845527479329,0.99744239828,0.00401312487891,0.000367273386442,0.978656563084,0.280748687047,0.08441320632,0.0160103434812,0.000562929327041,0.641301042932,0.0369975745833,0.778789671651,0.0312862665155,0.32720676358
block,shape,0.00313927501851,1.0,0.602501422866,3.86892694816e-15,0.000139280146941,0.909568388093,0.00891116993354,0.591895015337,0.999371043516,0.32874892396,0.327328867244,0.156248443975,0.00312115754074,0.999999999946,0.0921402656409,1.0,8.16689448075e-10,1.97692448224e-06
blue,rgb,5.96502352764e-07,1.40326808949e-49,0.999030693718,1.25772021563e-45,1.06275903429e-05,7.51417458452e-08,5.45516215136e-18,7.51070844461e-22,2.02982826128e-05,1.68047399511e-35,3.94786720932e-06,6.46481628911e-05,4.16287601696e-17,6.92543751973e-48,0.00108458114649,4.90380034485e-46,5.85588305116e-52,4.16725339729e-15
blue,shape,0.00200120489068,4.602470957e-06,3.38409514339e-07,5.07409807919e-14,5.62301540209e-06,0.296935843008,6.22218934507e-06,0.598724513991,0.329531609513,0.0348608815465,0.2829841582,6.81216817138e-09,4.58069481157e-09,0.599893202399,2.55330868761e-05,0.383792912089,2.2017988942e-06,2.39300645466e-11
brown,rgb,1.78312255777e-37,9.46625952092e-44,1.23847145146e-58,4.74411244597e-28,0.999086377944,9.01060371223e-75,8.93719161677e-07,3.9617946666e-19,2.84130173433e-43,1.47011766047e-05,1.68604327991e-17,3.21253275791e-06,1.46412699089e-05,1.30257375107e-40,1.23602718699e-05,1.11394134252e-37,7.36494523546e-12,1.155736688e-49
brown,shape,0.0185841417031,2.39214229364e-11,0.00827291488207,2.04229367342e-12,0.218243295287,0.00171386095146,9.96607060819e-06,2.18510261228e-05,1.49898040373e-10,0.333682370329,0.000173661213942,5.04141077463e-06,0.118414735806,1.66406381864e-09,5.3016766435e-07,0.236869072998,0.000231550712069,3.95162863273e-19
cabbage,rgb,1.90638608997e-141,0.0,1.76430981781e-07,0.0,2.55031437989e-52,4.14188792568e-69,1.70909442593e-68,1.48031647497e-42,1.97795505756e-49,7.06249697714e-170,1.23284233883e-33,6.47040310614e-06,1.14725880124e-291,0.0,0.999554227738,0.0,0.0,2.25911743863e-202
cabbage,shape,1.08675844084e-11,9.26093929613e-23,4.30893780053e-05,4.76345973962e-38,2.99755926253e-05,2.71728444024e-10,2.15131737405e-08,8.80126161912e-24,8.19215630406e-09,2.83456160885e-08,0.000284902994617,6.27873496626e-07,7.17177237139e-13,3.51330486927e-16,0.999999249615,3.60885713319e-17,1.28309277572e-06,1.55004834779e-23
carrot,rgb,2.07719801621e-46,9.27459157468e-87,5.33624082026e-47,2.1927866533e-69,0.0220576473701,9.72640572121e-58,1.72714304853e-06,1.37331612316e-11,2.35840602957e-33,0.666644584398,2.19220387264e-13,0.000240954737358,3.00844092787e-23,2.28174444228e-80,0.000561061135932,4.75868437926e-77,1.49671085242e-13,1.2129500294e-56
carrot,shape,1.55691375797e-10,7.58088151643e-14,0.00116227116187,2.43825437085e-30,0.000295656458402,4.43498178914e-10,1.68961634461e-07,6.54602816693e-13,3.85040412096e-09,0.666388435433,0.000925652084194,4.69023870437e-07,1.89729215558e-09,6.09750541797e-09,4.01206119746e-05,2.34899692883e-13,0.280804911093,1.37019294824e-25
corn,rgb,1.00514009384e-127,2.38274435987e-203,1.1676160036e-81,7.57593347303e-233,5.4040520778e-21,3.10724768544e-61,6.64431335425e-52,0.99442528221,9.4113473722e-39,7.86947747467e-36,2.813146388e-11,0.0226383103009,3.29193277155e-103,6.41791662726e-191,0.00120120128929,3.14327602163e-189,1.00054930969e-21,1.71332718035e-81
corn,shape,5.45744465742e-10,2.90731781206e-19,0.000212163837389,3.89093979942e-31,0.00020776370466,5.79783983081e-07,1.95620660781e-06,0.400785871336,5.12452203876e-06,0.000123343905356,0.0204908867497,0.00759825449199,6.67765231359e-10,5.93349770372e-16,2.13479659983e-05,2.80172639041e-09,0.00132180904392,3.75870445417e-23
cube,rgb,0.0128994041134,0.280702913181,7.4741025523e-13,2.78948139882e-07,0.0140940151276,0.810277218905,2.2693628508e-07,2.65089440644e-16,0.890275117481,3.44685074078e-06,0.236154159642,0.0866854987978,2.79882651911e-07,0.298999546087,0.221673403643,0.691007073244,0.160993127629,0.0957620817251
cube,shape,3.27684631296e-09,1.97118036044e-20,0.775237033457,4.38099333145e-28,1.53433844787e-05,2.63892026902e-08,0.0104304218435,0.0226516955114,1.03519549176e-09,0.000408382151285,0.000435332158765,0.00298842751488,2.55498254316e-08,3.67168923158e-16,0.00204427395945,0.250020592269,2.93730022194e-07,2.29453155293e-18
cuboid,rgb,0.602575181814,0.520702169625,0.289990619929,0.478156531687,0.0029183286512,0.00115739099866,4.44979020958e-08,2.85934902378e-12,0.0052628164064,1.3758832345e-07,0.000232924051341,0.000206041000051,0.000984024381092,0.488512287959,0.00120529424215,0.625490451711,9.99241154215e-10,0.0845267209839
cuboid,shape,3.40407893032e-08,3.9307311763e-18,0.00160611826911,4.00723002927e-24,0.00713093659394,0.999713368118,1.80062657266e-05,0.200000124015,0.000463976911259,0.333347965594,5.02073106386e-05,7.96470006511e-05,2.52257160446e-07,5.52785275808e-16,1.17056815737e-05,0.500000076632,4.74077120728e-09,5.14747277698e-18
cucumber,rgb,6.01335369934e-111,2.72498235795e-73,2.01238150958e-73,1.25036209817e-120,3.08428818942e-19,1.50458135045e-14,1.11374738967e-104,5.52477117213e-21,2.37278230707e-12,6.24501477908e-149,0.99878002583,3.1858186609e-05,4.25298182045e-67,1.48525216166e-70,2.16483154581e-09,3.19063606652e-73,4.89478060579e-10,2.93193683789e-27
cucumber,shape,2.39809598269e-12,1.6025408782e-22,0.000506844142494,5.34349143709e-34,1.31196323727e-05,7.20575881174e-12,7.03763312606e-08,8.81492767032e-15,3.82619894386e-09,0.333333287335,0.583787219409,0.000681291169722,9.21714636092e-16,3.09707489437e-17,5.16443279835e-06,0.202576109137,0.0010695677615,1.647653331e-08
cylinder,rgb,0.956013313768,6.29471077148e-56,0.834540276195,1.31637182035e-56,0.00313398939566,0.536315811148,1.67917809463e-19,3.70135239562e-35,0.803889765725,4.45392203819e-42,0.00424216622699,0.00463731492034,1.07399816679e-18,4.38488511099e-54,0.0988363307295,4.18459581094e-52,7.21050264313e-70,6.16850907766e-07
cylinder,shape,4.01966598723e-09,0.560437444907,6.94794027666e-05,9.83273597119e-16,0.00989561226737,7.23991821886e-08,6.97708004979e-05,3.21606161822e-11,3.8454409793e-06,0.333324561325,1.2454771624e-06,6.5205466577e-07,1.3995933162e-14,0.192308205452,0.00158114115749,6.71086534449e-05,0.000528448026172,1.99409112013e-12
eggplant,rgb,0.0,0.0,1.54748166443e-282,0.0,4.84628158227e-111,2.02446006693e-118,8.44096275783e-307,0.00312368453904,2.06729959304e-90,0.0,1.4392063495e-11,0.999933411012,0.0,0.0,0.0371324096201,0.0,3.03447355849e-290,0.0
eggplant,shape,2.46986562518e-10,6.06642851914e-24,0.000475378930547,3.12946060758e-29,0.000215327823805,2.39581693457e-09,3.85613660005e-07,1.34800374382e-18,7.23477196323e-09,2.36302553089e-07,2.73434623151e-05,0.832909045869,1.5560733143e-07,8.10187621418e-17,6.84017749203e-06,5.23723156812e-14,4.78989846748e-08,5.66811585626e-20
ellipsoid,rgb,0.960204247092,0.599671562131,0.00814524706143,0.915710631988,0.972688148289,0.000107070502061,0.791428169999,0.21031885718,0.00589056030147,0.0274811228186,0.154570002981,0.399118128914,0.99368900221,0.539709931485,0.487937204969,0.340194007837,0.0061428830127,0.735923944359
ellipsoid,shape,0.998100120511,1.10474696773e-18,0.34003882418,1.0,0.999947091321,0.0714364943415,0.990655821446,1.00830951462e-11,2.46613221531e-07,1.10416235678e-05,0.000237364470393,0.00361506163435,0.999995905737,6.19868869421e-18,0.998521706924,1.08265924717e-25,2.7314139976e-08,0.99955816354
green,rgb,8.95047624662e-08,9.3969663892e-38,6.10455801142e-84,4.00611455243e-96,1.0209406506e-05,1.0,8.54342417752e-37,8.09669652377e-34,1.0,6.4212381182e-63,0.999999999999,2.80989650328e-06,6.22542129895e-41,1.53826270015e-36,1.24556751333e-10,1.49864226247e-37,6.57000865046e-14,1.0
green,shape,6.65207647805e-10,0.199999703728,0.366813339116,2.93415245722e-17,0.00085466393706,1.27738118334e-06,0.000219885651255,0.12565711194,8.68858487335e-08,0.337388914205,0.840107429446,0.000253830904525,1.90865000145e-11,0.315284877278,0.000798783682202,0.00195184482623,0.13501511453,0.748153677115
lemon,rgb,1.85088062095e-74,1.31390460975e-05,4.32362919121e-19,0.999990148238,3.78433465063e-10,3.84738345921e-50,5.59149965638e-64,2.22450056078e-20,5.86408348044e-32,8.45475793972e-81,1.54958652019e-10,3.15479098507e-06,2.44889996077e-11,2.9409113769e-05,1.97486088101e-06,0.000335310821241,0.000861935507829,5.95670284892e-37
lemon,shape,3.9118938411e-07,4.54448725556e-14,0.000229932286571,0.47515041567,0.358138203265,4.65518511033e-10,2.81363653183e-09,4.48398103317e-30,5.32441201851e-09,5.29604821449e-12,0.000166380664886,2.01099561611e-08,0.216722790121,1.3939136547e-10,0.000127996984811,3.71742430102e-18,1.10400399157e-08,2.61320418845e-15
