Token,Type,Accuracy,Precision,Recall,F1-Score,Results,tomato/tomato_4,cylinder/cylinder_1,cube/cube_4,lemon/lemon_3,potato/potato_1,cuboid/cuboid_4,plum/plum_4,corn/corn_2,semicylinder/semicylinder_4,carrot/carrot_1,cucumber/cucumber_2,eggplant/eggplant_3,orange/orange_4,triangle/triangle_3,cabbage/cabbage_2,arch/arch_2,banana/banana_2,lime/lime_2
cylinder,rgb,0.8556,0.7778,1.0,0.875,,"Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.8, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.2, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.4, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
cylinder,shape,0.9667,1.0,0.9444,0.9714,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.4, Prec : 1.0,Recall : 0.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
cuboid,rgb,0.9,0.8333,1.0,0.9091,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.6, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.2, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.4, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
cuboid,shape,1.0,1.0,1.0,1.0,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
long-cone,rgb,0.8944,0.8889,1.0,0.9412,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.1, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
long-cone,shape,0.9143,0.9444,0.8889,0.9158,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.1818, Prec : 1.0,Recall : 0.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.4, Prec : 1.0,Recall : 0.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.875, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
yellow,rgb,0.9444,1.0,0.9444,0.9714,,"Acc : 0.0, Prec : 1.0,Recall : 0.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
yellow,shape,0.9065,0.6667,1.0,0.8,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.6, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.6667, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 0.75, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 0.8, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.7, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.8, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
carrot,rgb,0.9444,0.9444,1.0,0.9714,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
carrot,shape,0.9889,0.9444,1.0,0.9714,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.8, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
