Token,Type,cylinder,cube,triangle,ellipsoid,cuboid,arch,long-cone,ovoid,semicylinder
cylinder,shape,8.6133836201368301e-54,0.015271282835995308,0.56650466297302593,1.0216363107610815,0.22589365419634405,0.0019764815506302948,1.5546552749531927e-34,0.012070432098843537,0.79742315351707727
cylinder,shape,0.46623758005257326,2.3152398860758826e-06,0.025193494883340224,0.0043002354030605601,4.5661191812841332e-06,0.00036827164950194792,2.6109928193873328e-07,0.027314964862129414,6.7951111319318414e-08
cuboid,shape,0.47761177841626834,0.071311431851185769,0.43118946013728665,0.41276521267976718,0.00018532027714944548,0.00010421715569786918,1.0800446772962629e-09,0.022596512147157608,0.83204340763666118
cuboid,shape,3.8886773770841105e-19,0.00070337767331083074,0.00010710205369214413,0.001809893791436497,0.96115280878172482,0.00013146021211607903,0.00079824828068723679,0.0014320475185089804,0.0010245439111500672
long-cone,shape,0.0,6.6490695514182168e-32,1.5951286184348803e-29,0.061607568333799323,4.6606121433677221e-125,3.4192218197689822e-34,1.897846524026622,0.057959157294088681,3.6052310188166707e-58
long-cone,shape,3.3403580497598815e-11,0.00019094550353917074,0.00088946659230051029,0.12006905403952244,0.00038054834767082342,0.0017010680910486873,0.62609654472029708,0.0014373145332992432,0.00031945956917104273
yellow,shape,0.99999966815609442,3.1119388494494863e-94,5.8806304174625376e-26,1.0008131126772029,1.1061405905265566e-27,0.99128192453211983,0.0030985476289918214,0.0015157085598129236,6.0357560351234942e-22
yellow,shape,0.35119925825978188,0.0032024674856746906,0.19104951428234743,0.5414474194684874,0.21796040916620513,0.28070094406155621,0.31385490368140462,8.0558515623218557e-05,1.1274082229437932e-05
carrot,shape,2.7289602140867939e-151,1.6986411156905212e-32,1.521284776232379e-38,0.22211534496918311,5.6079479018767781e-23,3.8133333480781537e-26,0.97561991371077816,0.0024730296323241751,4.5251556849687932e-40
carrot,shape,5.8419722518822967e-14,3.243557483180108e-05,0.00020529006968325047,5.1030826386181861e-05,6.1071094464392494e-06,0.0093284730854562396,0.2378603952942186,0.0001417791288103165,1.1669484487058155e-08
lime,shape,1.7071701192405828e-15,1.215918633963514e-40,1.8784689293917104e-10,0.99987790637506069,1.7537846389411474e-200,7.8943325334935021e-14,1.2026404091093611e-57,5.0422603904173811e-06,0.0064417300634629429
lime,shape,1.9321541176701543e-19,0.00018088922414680804,0.0022694015938256448,0.54528217509464605,5.0114877551708209e-05,1.2028527465416848e-06,0.00064014188383815349,2.7253999665938127e-05,7.4613022314074941e-08
blue,shape,1.673870863616807e-35,3.4745348679850679e-10,6.6014555518733727e-06,0.0015276479124567833,0.99999999995123068,0.99999999997707967,2.3765032995648532e-22,7.2758976234706203e-05,2.1346077948840364e-05
blue,shape,0.00045384209667262057,0.64469768003387129,0.75482065969028622,0.00029134088515554403,3.2123760394009088e-05,0.20044049107562434,0.49880146104494893,0.065223911376314683,0.015410003721876689
lemon,shape,0.00096145378614367666,1.7285253597477484e-55,8.7035902620018772e-21,1.460870388978148,1.4486503193527245e-69,9.3277115144127118e-07,5.8278087660152392e-35,7.7980310561057975e-08,2.1620539014462792e-16
lemon,shape,1.2463272316754476e-11,1.7732921413897298e-06,0.0028098552580969952,0.38625386539856182,2.2038512984571042e-05,5.889397663757783e-08,0.00069780873049854095,1.4536669227289805e-05,2.3162106050302547e-08
ellipsoid,shape,0.43256135782347832,0.25536057812215135,0.0029276586534559257,5.7670831760547303,0.0040277033483086923,0.0052862299503595445,0.27964888487554335,0.57260670751925646,0.007226216624726162
ellipsoid,shape,1.2493440613088219e-17,0.0069887462317786298,2.3288956907487189e-05,6.7727495171971857,0.012469911508771352,1.2023656296941194e-06,0.00058033887778250089,2.1593307328591141e-06,1.8315804038364117e-06
purple,shape,2.6865619999196406e-35,2.5302909110075002e-12,0.11758743565315069,0.91110335227658323,1.6688110573416432e-21,2.3019930926104766e-20,0.14714697243824179,1.0775023453653676,0.17143718829771087
purple,shape,3.6296258834353448e-21,0.070021231607030512,2.9107141665077097e-05,1.8866993546203001,0.0004506159761420446,0.00043411478364004032,6.6829493788383205e-06,0.79974083426798626,2.8930817030182255e-05
