Token,Type,blue,brown,purple,yellow,green,orange,white,red
cylinder,rgb,0.22787013574697434,0.0096875873124175737,0.043267238150978403,0.97330118249274744,1.3713785513920045,1.8803089674566519e-12,1.5546552749531927e-34,0.98857246532874277
cylinder,rgb,4.5661193012335116e-06,0.0042658928124498438,0.02626902025736896,0.46660585380094194,0.026273147690950856,9.6133916711771778e-07,1.6125431127313891e-20,2.3173388727542996e-06
cuboid,rgb,0.00018751580215354592,0.0028548349177278756,0.0061871314930059878,0.74891587403869486,1.4177927197054951,0.00055783249731072208,1.0756447643931411e-09,0.32155216811486581
cuboid,rgb,0.96128423446687894,0.0015933194722918325,0.00089273094994535306,4.4583617538840226e-08,0.0018875246844771247,0.00079803852441376376,2.1186769124477369e-07,0.00070338772996643764
long-cone,rgb,4.6606121433677221e-125,0.061602382786529505,0.057964336826829443,6.014529040250516e-09,1.4997485022725665e-17,0.90006596201984457,0.99778056200677756,6.014529040250516e-09
long-cone,rgb,0.00038072857317404625,0.00033848646366899289,0.11977597488120251,0.0017008894996497605,0.0026008309759664111,0.36020345775827201,0.26589308777477966,0.0001909471042398864
yellow,rgb,1.3428761683669275e-27,3.4905988572078904e-08,0.0024773237787027742,2.9882496889625463,2.8886985656684402e-08,0.0028833390400256811,0.0030985459799725223,1.9001699928213914e-54
yellow,rgb,0.2179604783568018,0.20836107947594656,0.00052331191958591647,0.96446675003997895,0.19107201989355299,0.29907499404111509,0.01484564779065402,0.0032086998080972807
carrot,rgb,5.6117612352169822e-23,0.21993946509879697,0.004648909502530614,6.6246436866112267e-14,9.0584248074352082e-16,0.97561991184308994,1.8678007984018204e-09,6.6246436866112267e-14
carrot,rgb,6.1071840901624849e-06,4.8266872091620166e-05,7.412659064491144e-05,0.0093284731052028485,0.00027571812281602308,0.23786039530869837,2.9954280413890982e-18,3.243566916371362e-05
lime,rgb,1.7537846389411474e-200,9.2768458822084354e-07,2.7857573092676432e-14,8.0650495454176602e-14,1.0063237511066865,9.5458390742708451e-11,2.045219725669004e-66,9.9321944454743699e-28
lime,rgb,5.0115080722026947e-05,0.00021845293935357683,0.00038142486483585495,1.2696745690252728e-06,0.54510555391628479,0.0025135484395309177,7.3353285344262386e-17,0.00018095624913960008
blue,rgb,1.9999999999283102,0.0001762038216092912,0.00057001365026098944,0.00084889462373012006,3.3241955834152932e-05,3.7075764952292115e-10,2.3765032995647296e-22,0.00084889497118360684
blue,rgb,0.20046951240045985,0.00026630539908671419,0.065243096915238344,0.00046224305768844071,0.77023092536542648,0.49880175001043703,5.0293612257637293e-10,0.64470297855932857
lemon,rgb,1.4486503193638922e-69,0.0011285162708296482,6.4326550754220344e-08,1.0005906001713842,1.434281007778474e-08,0.4601136584041795,5.8223950183067865e-35,3.8185397263196821e-28
lemon,rgb,2.2038883840885162e-05,0.27112935593652976,1.0012765163514653e-05,0.11437393067221259,0.0028173719316688822,0.0013411090399753297,0.00010436740852423001,6.7856001311852821e-06
ellipsoid,rgb,0.0060147097157266854,0.97011905131133824,1.7448233208158257,2.2376436880365311,0.83994256335736761,1.1319895525234185,0.14083504908965111,1.2041857432897956
ellipsoid,rgb,0.012471106602994329,0.99934710413822925,1.9964329873441051,1.8170616969822457,1.0000271587395415,0.96048819601029789,3.834882328795248e-16,1.0068214805419675
purple,rgb,2.2562814757149614e-21,0.0015131906351981631,1.8646399936834241,1.4987477613064323e-09,0.41147713577544226,1.4041856852060117e-17,0.14714697243824179,1.5012780521950073e-09
purple,rgb,0.00088471844354176381,8.8746471526515404e-05,2.4348504534874302,1.2330726472613944e-08,0.25154988169375647,1.5828129161457034e-05,6.9907813478961394e-25,0.070021231621516661
orange,rgb,1.4318362438250969e-34,0.86276817362570069,0.35720046520932103,0.24498351333774143,8.9026887037037028e-05,1.8103630926235348,7.9999205062267383e-10,1.8881673317724277e-06
orange,rgb,9.0033150443983399e-05,0.13578051001271046,0.056632332549345285,0.00064868831974751451,9.1043003782779024e-05,0.42232324521064135,4.613007514937812e-10,0.00077990633251075962
white,rgb,0.0,1.6122768584112979e-28,0.010207834554384353,2.9606332573324414e-35,1.9685442199600435e-12,0.37814789349531075,0.99534685211156027,4.1701873620745587e-160
white,rgb,0.00011428209228122818,0.00010238104617637248,2.5709601389471449e-05,0.00058404211410335817,0.0010819028280964226,0.00059542194465757358,0.44439243832048464,4.1868740251108803e-05
semicylinder,rgb,1.902429960510297,0.17963775534141757,0.095481469436289518,2.1562672801918192,1.0074842557432864,0.34043321317130065,5.997796824339697e-05,1.0249927526710909
semicylinder,rgb,0.19636558738329349,2.2389953047518096e-07,0.19989874222228218,0.00020441828165072747,0.99688609927713534,0.30474431679274899,0.26767581996340345,0.012288033161541114
banana,rgb,0.0,1.2678106401152673e-17,0.00083998016174981888,0.50672573981158153,1.6688403814107009e-08,8.566111535773163e-15,2.8876458870253807e-20,9.9873448989986163e-191
banana,rgb,2.543725214593553e-05,7.663381416066919e-05,3.279040141910108e-05,0.98792686633363869,0.007803515290618881,0.2174141632516278,7.8503985008511726e-08,0.0035908163436236332
red,rgb,2.1961960159875545e-14,0.00050151121648539315,1.4059046995640948e-12,0.98455240039939118,1.2137836750837299e-27,3.3576335232796187e-12,3.0832338534972341e-82,1.9841745376422828
red,rgb,0.82014598361514013,0.94450116772082593,0.20884679796468963,1.8550420219546302,0.43240270256159552,0.17880986984123576,5.2321990903135863e-11,0.59550505671169063
brown,rgb,7.845599721781903e-142,0.99889459249202917,8.0687097408136392e-06,1.0101080764310644e-13,1.5500577518326167e-18,0.53347210668227785,5.2346844286383298e-24,6.260463776256935e-41
brown,rgb,3.2506597186778845e-05,0.19550222644965545,0.12510896100667715,0.007933073375986515,0.14046358282429172,0.0025302035914477605,1.7763766232470356e-11,0.0074940332856397399
cube,rgb,0.12944539655583717,1.2861124251151659e-10,0.011338300600008223,0.092641327621109978,1.3759413175244932,1.0737831870181565e-09,1.7188540739963697e-13,3.3516001164992946e-33
cube,rgb,0.0030717855093944451,0.00037942345232626373,0.012184552737409702,8.7328194613435352e-07,0.0013528511014395761,0.051629755997419931,2.8942835810642788e-18,0.99984829754815496
triangle,rgb,1.8907255118135515,0.15820331243177838,0.27782577335139397,1.7866904659623657,0.11981332615140139,0.042033713460323044,0.0055309519540531959,1.5490691628667821
triangle,rgb,2.9857257311859488e-05,0.0023258488233101737,0.029527358348796662,0.54132455397367496,0.96011193559485264,0.078113637816954587,1.0926546043010893e-19,1.4195037247829538e-05
corn,rgb,0.0,1.6122768584112979e-28,0.010207834554384353,2.9606332573324414e-35,1.9685442199600435e-12,0.37814789349531075,0.99534685211156027,4.1701873620745587e-160
corn,rgb,0.00011428209228122818,0.00010238104617637248,2.5709601389471449e-05,0.00058404211410335817,0.0010819028280964226,0.00059542194465757358,0.44439243832048464,4.1868740251108803e-05
cucumber,rgb,4.3082171887654591e-217,3.1087148430915664e-28,5.8925258962514039e-05,1.2953393123658099e-11,0.99963564881415257,6.8567145296289373e-37,4.8061207737452048e-28,2.0135402306280967e-170
cucumber,rgb,0.0045076188966803972,1.5966492762508494e-05,8.3473652022619658e-05,0.0004093048858251966,0.60231223284411828,0.039740598644280201,0.45454006671418079,0.00040515090836788071
cabbage,rgb,1.6323724232837026e-30,6.1314219857379592e-35,1.0843059957239625,8.4742833454225356e-106,1.0852444126152503e-24,2.5204849553152346e-51,3.7292487730972874e-29,8.4742833454225356e-106
cabbage,rgb,3.2723229082412642e-07,4.9550773423160794e-05,0.64609347890301505,5.6808881641033568e-07,2.3209558973751879e-05,0.00038994334959823894,6.3250865670854648e-18,4.8283688727810662e-05
arch,rgb,8.6329245002804241e-06,0.10801495446009611,0.095723438508390796,1.8888803786584649,2.8341837375856862,0.49684877545788875,0.12311105318337275,0.27337040863140372
arch,rgb,0.99857257516027276,7.9293219608583463e-05,7.8659012802798474e-05,0.9868067196622009,0.0012644145112556807,0.21930113357532174,2.9557223059491988e-12,0.00029616495268424602
tomato,rgb,2.1754876202166588e-13,1.7621400876422388e-07,4.6620432582256645e-19,0.98590533757582377,1.6217660387702079e-69,6.2588516901280505e-49,8.6266194605568183e-150,0.98747335238581713
tomato,rgb,1.8072816625592713e-06,0.96689150655277067,6.64855875817071e-06,1.0422047669978658,5.3483336172809251e-05,3.8804233741692021e-05,2.4385429118580261e-19,0.74969226774607856
potato,rgb,3.7399220643378895e-123,0.87414248023322316,0.00097532304314221165,5.6644881050040083e-14,6.3644637674597135e-15,0.32416473756171976,1.2901763049427409e-23,2.4367223916026573e-45
potato,rgb,3.2506597186778845e-05,0.19550222644965545,0.12510896100667715,0.007933073375986515,0.14046358282429172,0.0025302035914477605,1.7763766232470356e-11,0.0074940332856397399
plum,rgb,2.6632585849598454e-51,7.7988630456157595e-08,0.010262836214283921,4.6714325580413839e-05,1.1585261584293049e-40,6.6107778433863211e-61,5.778912880384823e-71,7.0243767551993777e-05
plum,rgb,0.0019171623194786387,2.2104107394061621e-05,0.99256397626650983,2.5584937163189325e-07,0.23114532311365218,0.00024880426448068907,1.66118912489949e-19,0.091408054265408725
green,rgb,1.760104055246674e-110,0.00023364472723390626,0.0036166783651160068,2.5791428028716961e-06,3.9999999941395465,1.7386128938671132e-12,7.4884088058603354e-22,2.6004509905610863e-06
green,rgb,0.62907483557042998,0.06160689310219996,0.13236786725366906,0.0080762180965768173,1.2213097112300852,0.19650153603744944,0.36737737845742197,0.022239039695806814
eggplant,rgb,9.3235748428100674e-303,2.9069790638516809e-53,1.1168872059197865,1.1040395855612748e-177,3.1598013111223679e-07,4.392443120071503e-183,0.058490447650464732,1.5096162572676899e-244
eggplant,rgb,2.1949152097179818e-05,6.8058246507452083e-05,0.80035480365564193,1.4260294779431925e-08,0.00010799556427574942,9.3751437966279729e-05,2.5056664681398766e-21,0.00027987853742053484
ovoid,rgb,1.4691142688749587e-242,2.353662975704277e-76,0.99362572922213999,4.865810406428948e-101,1.1999998455020919,1.4581558492530283e-126,0.20166879700127208,0.0
ovoid,rgb,0.0033927869708173237,4.5610497711515046e-05,0.79972113700580094,0.00029165357826716783,0.50028018144159803,0.028488931615491653,0.4543638625062289,5.4097079665772874e-05
block,rgb,1.9996906247649784,0.0011030972082417979,0.057641221768831907,1.040443773739717,2.3982456028159551,0.0011405352932758884,0.00032014612280504157,0.91407434848789815
block,rgb,1.9491420939369255,0.0086388470124942694,0.26452517565127975,1.1672011346943585,2.2321842178648028,0.36681898846750338,0.36229970791082966,0.98153146198623253
